trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-123.76425448803722,"{0: 15, 1: 4, 2: 4, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-86.37549086296937,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",30,0,-213.13010054307705,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 5}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-120.29916841799336,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-181.86597614633627,"{0: 14, 1: 0, 2: 8, 3: 0, 4: 3}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-41.99121799767791,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,15,-13.312884779082161,"{0: 4, 1: 0, 2: 0, 3: 1, 4: 0}",1
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",30,0,-107.6748005123849,"{0: 22, 1: 1, 2: 3, 3: 3, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-176.27855391688425,"{0: 9, 1: 3, 2: 5, 3: 0, 4: 3}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-30.185870524508744,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",35,12,-120.34607817897955,"{0: 16, 1: 0, 2: 3, 3: 2, 4: 2}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",30,0,-159.94563496689392,"{0: 21, 1: 0, 2: 6, 3: 0, 4: 3}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",30,4,-18.14968897688854,"{0: 21, 1: 1, 2: 4, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-30.060908074150515,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,-133.5141351490182,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 3}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,0,-147.8716947569988,"{0: 17, 1: 1, 2: 2, 3: 3, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,11,4.216719158215481,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,15,15.84476434929695,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,6,-41.256156633233495,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 1}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-64.99636776497802,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
1,True,"{'a': 0, 'e': 0}",25,0,-24.987701006519607,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",20,8,-6.239533095747641,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,16,7.177491090291295,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,0,-57.87766759157694,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
5,True,"{'a': 0, 'e': 0}",20,10,6.843473939158424,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,11,15.704887013630167,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,1,-83.98758077491033,"{0: 20, 1: 0, 2: 1, 3: 1, 4: 2}",1
8,True,"{'a': 0, 'e': 0}",25,13,-22.410470505964078,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
9,True,"{'a': 0, 'e': 0}",20,7,23.447316679137586,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",25,0,-61.46325418139193,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 2}",0
