trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.15, 'e': 1.0}",35,0,-101.50782565602019,"{0: 22, 1: 2, 2: 10, 3: 1, 4: 0}",0
2,False,"{'a': 0.15, 'e': 1.0}",20,0,-6.966307022939371,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
3,False,"{'a': 0.15, 'e': 1.0}",20,0,-71.68251859327285,"{0: 13, 1: 1, 2: 4, 3: 2, 4: 0}",0
4,False,"{'a': 0.15, 'e': 1.0}",20,0,-30.570899353761288,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
5,False,"{'a': 0.15, 'e': 1.0}",25,0,-84.23676010352635,"{0: 15, 1: 2, 2: 7, 3: 1, 4: 0}",0
6,False,"{'a': 0.15, 'e': 1.0}",20,9,-70.63483723976331,"{0: 6, 1: 0, 2: 4, 3: 0, 4: 1}",1
7,False,"{'a': 0.15, 'e': 1.0}",20,0,-45.53108231348099,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
8,False,"{'a': 0.15, 'e': 1.0}",20,0,-92.3873605014763,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
9,False,"{'a': 0.15, 'e': 1.0}",25,0,-54.96398247386121,"{0: 17, 1: 1, 2: 7, 3: 0, 4: 0}",0
10,False,"{'a': 0.15, 'e': 1.0}",30,0,-42.90856603327068,"{0: 23, 1: 2, 2: 4, 3: 1, 4: 0}",0
11,False,"{'a': 0.15, 'e': 1.0}",25,0,-63.44517313938722,"{0: 16, 1: 4, 2: 4, 3: 1, 4: 0}",0
12,False,"{'a': 0.15, 'e': 1.0}",25,0,-115.7707658236865,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
13,False,"{'a': 0.15, 'e': 1.0}",25,0,-122.34850177143024,"{0: 15, 1: 2, 2: 5, 3: 2, 4: 1}",0
14,False,"{'a': 0.15, 'e': 1.0}",20,0,-111.48369500380176,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
15,False,"{'a': 0.15, 'e': 1.0}",20,0,-118.87003590239839,"{0: 9, 1: 2, 2: 8, 3: 0, 4: 1}",0
16,False,"{'a': 0.15, 'e': 1.0}",25,0,-123.62353355436112,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
17,False,"{'a': 0.15, 'e': 1.0}",20,0,-113.56598465307272,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
18,False,"{'a': 0.15, 'e': 1.0}",25,15,-19.422137686062072,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 0}",1
19,False,"{'a': 0.15, 'e': 1.0}",20,0,-172.44591436146567,"{0: 10, 1: 2, 2: 3, 3: 3, 4: 2}",0
20,False,"{'a': 0.15, 'e': 1.0}",20,7,-42.770668916424746,"{0: 6, 1: 4, 2: 3, 3: 0, 4: 0}",1
21,False,"{'a': 0.15, 'e': 1.0}",30,8,-126.9814686700061,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 3}",1
22,False,"{'a': 0.15, 'e': 1.0}",20,0,-96.3283610634046,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
23,False,"{'a': 0.15, 'e': 1.0}",30,0,-161.5433215139058,"{0: 18, 1: 2, 2: 7, 3: 1, 4: 2}",0
24,False,"{'a': 0.15, 'e': 1.0}",25,0,-152.85017930787822,"{0: 16, 1: 2, 2: 2, 3: 3, 4: 2}",0
25,False,"{'a': 0.15, 'e': 1.0}",30,0,-230.02536824357733,"{0: 16, 1: 0, 2: 9, 3: 2, 4: 3}",0
26,False,"{'a': 0.15, 'e': 1.0}",20,0,-129.16260902847802,"{0: 10, 1: 0, 2: 8, 3: 1, 4: 1}",0
27,False,"{'a': 0.15, 'e': 1.0}",20,0,-108.97718598031918,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
28,False,"{'a': 0.15, 'e': 1.0}",25,9,-63.80485129729022,"{0: 11, 1: 0, 2: 4, 3: 0, 4: 1}",1
29,False,"{'a': 0.15, 'e': 1.0}",25,0,-225.9861969212007,"{0: 11, 1: 3, 2: 6, 3: 2, 4: 3}",0
30,False,"{'a': 0.15, 'e': 1.0}",25,17,-17.60924140646622,"{0: 5, 1: 1, 2: 2, 3: 0, 4: 0}",1
31,False,"{'a': 0.15, 'e': 1.0}",25,4,-158.91623769102617,"{0: 10, 1: 5, 2: 3, 3: 0, 4: 3}",1
32,False,"{'a': 0.15, 'e': 1.0}",20,0,-109.36610619253926,"{0: 11, 1: 0, 2: 8, 3: 0, 4: 1}",0
33,False,"{'a': 0.15, 'e': 1.0}",25,0,-255.78603384607524,"{0: 9, 1: 3, 2: 7, 3: 3, 4: 3}",0
34,False,"{'a': 0.15, 'e': 1.0}",25,0,-180.1842046532362,"{0: 12, 1: 6, 2: 4, 3: 0, 4: 3}",0
35,False,"{'a': 0.15, 'e': 1.0}",20,0,-133.05927589807868,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
36,False,"{'a': 0.15, 'e': 1.0}",20,0,-83.19275927069802,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
37,False,"{'a': 0.15, 'e': 1.0}",25,0,-120.18298292791803,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
38,False,"{'a': 0.15, 'e': 1.0}",20,0,-104.48327156908749,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
39,False,"{'a': 0.15, 'e': 1.0}",20,0,-150.08483190363728,"{0: 9, 1: 2, 2: 7, 3: 0, 4: 2}",0
40,False,"{'a': 0.15, 'e': 1.0}",20,0,-137.56425983142935,"{0: 12, 1: 2, 2: 2, 3: 2, 4: 2}",0
41,False,"{'a': 0.15, 'e': 1.0}",20,0,-150.60637623556988,"{0: 11, 1: 2, 2: 3, 3: 2, 4: 2}",0
42,False,"{'a': 0.15, 'e': 1.0}",30,0,-192.4760292037705,"{0: 19, 1: 3, 2: 4, 3: 0, 4: 4}",0
43,False,"{'a': 0.15, 'e': 1.0}",25,0,-138.47206042669012,"{0: 14, 1: 5, 2: 4, 3: 0, 4: 2}",0
44,False,"{'a': 0.15, 'e': 1.0}",30,12,-50.983812771285,"{0: 10, 1: 4, 2: 3, 3: 1, 4: 0}",1
