trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-90.12073841804789,"{0: 14, 1: 4, 2: 5, 3: 2, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-90.5774994914234,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-34.44082348634816,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,15,-102.86789830635192,"{0: 5, 1: 0, 2: 3, 3: 0, 4: 2}",1
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-147.3192439514718,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-83.74123246525374,"{0: 11, 1: 1, 2: 7, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-85.02843810890005,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-138.6470925272647,"{0: 17, 1: 0, 2: 4, 3: 2, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",30,0,-77.77340555723761,"{0: 20, 1: 0, 2: 10, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",35,0,-131.06380359203757,"{0: 23, 1: 2, 2: 7, 3: 2, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-183.50032656796196,"{0: 15, 1: 2, 2: 3, 3: 2, 4: 3}",0
12,False,"{'a': 0.5, 'e': 1.0}",35,0,-137.0631339412643,"{0: 21, 1: 2, 2: 10, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-101.43264047360277,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-99.18233059518433,"{0: 11, 1: 1, 2: 5, 3: 3, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-110.30164181871592,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-142.2405455950233,"{0: 11, 1: 3, 2: 2, 3: 2, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-101.48316489110337,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-85.43039015104239,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-240.59632922894758,"{0: 9, 1: 2, 2: 10, 3: 1, 4: 3}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-156.0255332665,"{0: 13, 1: 6, 2: 2, 3: 2, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,13,-10.843431989144754,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-56.77876384449344,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
3,True,"{'a': 0.5, 'e': 1.0}",30,0,-32.35647080871757,"{0: 23, 1: 3, 2: 4, 3: 0, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-174.10135493240733,"{0: 10, 1: 2, 2: 4, 3: 1, 4: 3}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-149.0425359351163,"{0: 13, 1: 3, 2: 5, 3: 3, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",30,0,-55.32092618730329,"{0: 22, 1: 2, 2: 5, 3: 1, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-117.48761054667557,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",30,0,-172.95462138810836,"{0: 16, 1: 4, 2: 7, 3: 1, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-147.92323992917648,"{0: 9, 1: 2, 2: 5, 3: 3, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-212.24995229491915,"{0: 9, 1: 0, 2: 6, 3: 2, 4: 3}",0
